date, value 
2021-10-06, 8
2021-10-07, 2
2021-10-08, 5
2021-10-11, 1
2021-10-15, 1
2021-10-17, 1
2021-10-18, 2
2021-10-20, 2
2021-10-22, 1
2021-10-24, 1
2021-10-25, 3
2021-10-26, 2
2021-10-28, 2
2021-10-31, 2
2021-11-03, 1
2021-11-04, 1
2021-11-05, 6
2021-11-06, 1
2021-11-13, 1
2021-11-15, 3
2021-11-16, 2
2021-11-17, 1
2021-11-21, 1
2021-11-22, 4
2021-11-23, 1
2021-11-24, 2
2021-12-09, 2
2021-12-10, 2
2021-12-11, 1
2021-12-13, 1
2021-12-15, 2
2021-12-16, 3
2021-12-17, 1
2021-12-18, 1
2021-12-20, 1
2021-12-21, 8
2021-12-29, 24
2021-12-31, 1
2022-01-02, 1
2022-01-04, 2
2022-01-23, 1
2022-01-27, 2
2022-02-03, 1
2022-02-08, 2
2022-02-10, 2
2022-02-11, 1
2022-02-15, 3
2022-02-16, 4
2022-02-17, 1
2022-02-18, 1
2022-02-21, 2
2022-02-22, 6
2022-03-02, 1
2022-03-08, 2
2022-03-13, 1
2022-03-21, 1
2022-03-23, 1
2022-04-01, 1
2022-04-04, 1
2022-04-11, 2
2022-04-14, 3
2022-04-18, 1
2022-04-19, 1
2022-04-20, 3
2022-04-21, 1
2022-04-22, 1
2022-04-23, 2
2022-04-24, 1
2022-04-25, 2
2022-04-26, 3
2022-04-27, 1
2022-04-30, 1
2022-05-03, 1
2022-05-04, 1
2022-05-05, 1
2022-05-09, 13
2022-05-10, 1
2022-05-12, 1
2022-05-15, 1
2022-05-17, 3
2022-05-18, 1
2022-05-20, 1
2022-05-26, 1
2022-05-28, 1
2022-06-04, 1
2022-06-06, 1
2022-06-07, 1
2022-06-08, 4
2022-06-09, 1
2022-06-14, 1
2022-06-15, 2
2022-06-17, 1
2022-06-18, 3
2022-06-20, 10
2022-06-21, 3
2022-06-25, 1
2022-06-27, 1
2022-06-29, 14
2022-06-30, 3
2022-07-09, 1
2022-07-11, 2
2022-07-12, 2
2022-07-13, 1
2022-07-15, 3
2022-07-16, 1
2022-08-01, 1
2022-08-05, 2
2022-08-12, 1
2022-08-29, 1
2022-09-03, 1
2022-09-04, 1
2022-09-06, 2
2022-09-07, 1
2022-09-09, 7
2022-09-10, 2
2022-09-11, 2
2022-09-12, 1
2022-09-13, 1
2022-09-14, 8
2022-09-15, 5
2022-09-18, 3
2022-09-19, 3
2022-09-20, 7
2022-09-21, 5
2022-09-23, 1
2022-09-25, 1
2022-09-28, 1
2022-10-01, 1
2022-10-03, 1
2022-10-04, 1
2022-10-06, 2
2022-10-07, 1
2022-10-09, 1
2022-10-12, 7
2022-10-14, 1
2022-10-17, 3
2022-10-18, 5
2022-10-19, 2
2022-10-20, 1
2022-10-21, 1
2022-10-30, 1
2022-11-02, 2
2022-11-03, 2
2022-11-07, 2
2022-11-09, 1
2022-11-10, 3
2022-11-11, 3
2022-11-14, 5
2022-11-17, 1
2022-11-18, 2
2022-11-21, 2
2022-11-22, 8
2022-11-23, 2
2022-11-24, 1
2022-11-25, 2
2022-11-27, 2
2022-11-28, 2
2022-12-01, 1
2022-12-06, 1
2022-12-07, 3
2022-12-14, 1
2022-12-15, 1
2022-12-16, 1
2022-12-17, 1
2023-01-02, 24
2023-01-03, 1
2023-01-12, 1
2023-01-18, 2
2023-01-19, 1
2023-01-21, 1
2023-01-22, 2
2023-01-26, 1
2023-01-27, 1
2023-01-31, 1
2023-02-02, 1
2023-02-03, 1
2023-02-04, 1
2023-02-07, 1
2023-02-09, 1
2023-02-11, 3
2023-02-15, 1
2023-02-16, 1
2023-02-17, 1
2023-02-20, 3
2023-02-22, 2
2023-02-23, 1
2023-03-15, 1
2023-03-17, 1
2023-03-21, 1
2023-03-23, 1
2023-04-04, 1
2023-04-11, 1
2023-04-12, 1
2023-04-13, 2
2023-04-17, 3
2023-04-18, 2
2023-04-19, 1
2023-04-23, 1
2023-05-25, 3
2023-05-30, 2
2023-06-01, 7
2023-06-02, 1
2023-06-07, 1
2023-06-14, 1
2023-06-19, 3
2023-06-20, 2
2023-07-03, 1
2023-07-04, 1
2023-07-16, 1
2023-07-24, 1
2023-07-26, 1
2023-08-03, 3
2023-08-04, 1
2023-08-19, 1
2023-08-22, 1
2023-08-26, 1
2023-09-05, 2
2023-09-10, 1
2023-09-14, 1
2023-09-15, 1
2023-09-18, 1
2023-09-19, 1
2023-09-20, 2
2023-09-21, 1
2023-09-23, 1
2023-09-26, 4
2023-10-04, 1
2023-10-12, 1
2023-10-13, 1
2023-10-17, 1
2023-10-22, 2
2023-10-26, 2
2023-10-27, 1
2023-10-29, 1
2023-10-30, 1
2023-10-31, 1
2023-11-01, 1
2023-11-02, 1
2023-11-03, 1
2023-11-06, 1
2023-11-08, 1
2023-11-13, 1
2023-11-14, 1
2023-11-15, 5
2023-11-16, 7
2023-11-17, 2
2023-11-19, 2
2023-11-20, 1
2023-11-21, 5
2023-11-22, 2
2023-11-23, 1
2023-12-01, 1
2023-12-04, 1
2023-12-05, 1
2023-12-13, 1
2023-12-14, 2
2023-12-18, 1
2024-01-12, 8
2024-01-15, 3
2024-01-17, 1
2024-01-18, 2
2024-01-19, 1
2024-01-21, 1
2024-01-22, 2
2024-01-23, 1
2024-01-24, 2
2024-01-25, 1
2024-01-26, 4
2024-01-27, 2
2024-01-28, 3
2024-01-29, 3
2024-01-30, 10
2024-01-31, 1
2024-02-03, 1
2024-02-08, 1
2024-02-09, 1
2024-02-17, 1
2024-02-19, 1
2024-02-21, 2
2024-02-22, 1
2024-02-23, 1
2024-02-24, 1
2024-02-25, 1
2024-02-26, 1
2024-02-27, 2
2024-03-14, 3
2024-03-16, 1
2024-03-18, 1
2024-03-20, 3
2024-03-21, 3
2024-03-26, 1
2024-03-27, 1
2024-03-28, 1
2024-03-31, 1
2024-04-03, 1
2024-04-07, 1
2024-04-12, 1
2024-04-17, 1
2024-04-18, 1
2024-04-22, 9
2024-04-23, 2
2024-04-24, 3
2024-04-25, 2
2024-04-27, 1
2024-04-29, 1
2024-04-30, 1
2024-05-08, 5
2024-05-11, 1
2024-05-14, 1
2024-05-15, 7
2024-05-16, 2
2024-05-18, 1
2024-05-19, 2
2024-05-21, 1
2024-05-22, 1
2024-05-23, 2
2024-05-25, 2
2024-05-26, 1
2024-05-27, 1
2024-05-28, 2
2024-05-29, 1
2024-05-30, 1
2024-06-07, 2
2024-06-23, 1
2024-06-26, 1
2024-06-28, 1
2024-06-29, 1
2024-07-03, 1
2024-07-07, 1
2024-07-24, 1
2024-07-31, 2
2024-08-06, 2
2024-08-14, 1
2024-08-15, 1
2024-08-19, 2
2024-08-22, 1
2024-08-27, 1
2024-08-30, 1
2024-09-05, 1
2024-09-08, 4
2024-09-09, 2
2024-09-11, 2
2024-09-12, 2
2024-09-14, 2
2024-09-16, 2
2024-09-18, 3
2024-09-19, 3
2024-09-22, 1
2024-09-23, 1
2024-09-24, 3
