date, total, active 
2021-09-29, 278, 34
2021-09-30, 278, 33
2021-10-01, 278, 33
2021-10-02, 278, 33
2021-10-03, 278, 32
2021-10-04, 279, 33
2021-10-05, 279, 33
2021-10-06, 279, 33
2021-10-07, 282, 42
2021-10-08, 282, 41
2021-10-09, 284, 43
2021-10-10, 285, 41
2021-10-11, 285, 40
2021-10-12, 285, 41
2021-10-13, 285, 38
2021-10-14, 285, 39
2021-10-15, 285, 39
2021-10-16, 287, 42
2021-10-17, 287, 42
2021-10-18, 290, 45
2021-12-02, 315, 34
2021-12-03, 315, 31
2021-12-04, 315, 30
2021-12-05, 315, 29
2021-12-06, 315, 25
2021-12-07, 315, 24
2021-12-08, 315, 24
2021-12-09, 315, 23
2021-12-10, 315, 23
2021-12-11, 315, 25
2021-12-12, 315, 27
2021-12-13, 315, 27
2021-12-14, 315, 28
2021-12-15, 315, 27
2021-12-16, 315, 28
2021-12-17, 318, 29
2021-12-18, 318, 29
2021-12-19, 318, 30
2021-12-20, 318, 30
2021-12-21, 320, 33
2021-12-22, 324, 38
2021-12-23, 324, 34
2021-12-24, 324, 32
2021-12-25, 324, 31
2021-12-26, 324, 31
2021-12-27, 324, 31
2021-12-28, 324, 31
2021-12-29, 324, 30
2021-12-30, 324, 30
2021-12-31, 324, 30
2022-01-01, 324, 29
2022-01-02, 324, 29
2022-01-03, 325, 30
2022-01-04, 327, 33
2022-01-05, 328, 35
2022-01-06, 328, 35
2022-01-07, 328, 35
2022-01-08, 328, 35
2022-01-09, 328, 34
2022-01-10, 328, 33
2022-01-11, 328, 31
2022-01-12, 329, 32
2022-01-13, 329, 31
2022-01-14, 329, 31
2022-01-15, 329, 29
2022-01-16, 330, 27
2022-01-17, 331, 27
2022-01-18, 331, 26
2022-01-19, 331, 26
2022-01-20, 332, 25
2022-02-02, 340, 21
2022-02-03, 340, 18
2022-02-04, 341, 17
2022-02-05, 341, 17
2022-02-06, 341, 16
2022-02-07, 342, 17
2022-02-08, 342, 18
2022-02-09, 342, 20
2022-02-10, 342, 20
2022-02-11, 344, 23
2022-02-12, 345, 25
2022-02-13, 345, 25
2022-02-14, 346, 26
2022-02-15, 346, 25
2022-02-16, 346, 28
2022-02-17, 347, 32
2022-02-18, 349, 34
2022-02-19, 350, 34
2022-02-20, 350, 35
2022-02-21, 350, 35
2022-02-22, 352, 37
2022-02-23, 354, 41
2022-02-24, 354, 42
2022-02-25, 354, 42
2022-02-26, 355, 43
2022-02-27, 356, 42
2022-02-28, 356, 41
2022-03-01, 356, 41
2022-03-02, 357, 41
2022-03-03, 358, 42
2022-03-04, 358, 41
2022-03-05, 358, 41
2022-03-06, 358, 39
2022-03-07, 359, 40
2022-03-08, 359, 40
2022-03-09, 359, 39
2022-03-10, 359, 38
2022-03-11, 361, 40
2022-03-12, 361, 40
2022-03-13, 362, 37
2022-03-14, 361, 36
2022-03-15, 361, 36
2022-03-16, 360, 34
2022-03-17, 360, 34
2022-03-18, 360, 33
2022-03-19, 360, 33
2022-03-20, 360, 30
2022-03-21, 360, 30
2022-03-22, 360, 30
2022-03-23, 360, 30
2022-03-24, 361, 31
2022-03-25, 361, 21
2022-03-26, 361, 21
2022-03-27, 361, 21
