date, value 
2021-11-08, 1
2021-11-13, 1
2021-11-15, 1
2021-11-16, 2
2021-11-17, 1
2021-11-22, 4
2021-11-23, 1
2021-11-28, 1
2021-11-29, 1
2021-11-30, 1
2021-12-16, 3
2021-12-20, 2
2021-12-21, 4
2022-01-02, 1
2022-01-03, 2
2022-01-04, 1
2022-01-11, 1
2022-01-15, 1
2022-01-16, 1
2022-01-21, 1
2022-01-23, 1
2022-01-27, 3
2022-01-28, 1
2022-01-29, 1
2022-01-30, 1
2022-02-01, 1
2022-02-03, 1
2022-02-06, 1
2022-02-10, 2
2022-02-11, 1
2022-02-13, 1
2022-02-16, 1
2022-02-17, 2
2022-02-18, 1
2022-02-21, 2
2022-02-22, 2
2022-02-25, 1
2022-02-26, 1
2022-03-01, 1
2022-03-02, 1
2022-03-06, 1
2022-03-10, 1
2022-03-11, 1
2022-03-12, 1
2022-03-23, 1
2022-03-28, 1
2022-03-31, 1
2022-04-01, 1
2022-04-03, 1
2022-04-08, 1
2022-04-09, 1
2022-04-10, 1
2022-04-11, 1
2022-04-12, 1
2022-04-14, 2
2022-04-17, 1
2022-04-18, 1
2022-04-20, 2
2022-04-21, 1
2022-04-22, 2
2022-04-23, 3
2022-04-24, 1
2022-04-25, 1
2022-04-26, 4
2022-04-27, 2
2022-05-04, 1
2022-05-05, 1
2022-05-06, 1
2022-05-09, 1
2022-05-11, 1
2022-05-15, 1
2022-05-17, 2
2022-05-18, 1
2022-05-20, 1
2022-05-23, 1
2022-05-26, 1
2022-05-27, 1
2022-05-28, 1
2022-06-03, 1
2022-06-04, 1
2022-06-05, 1
2022-06-06, 1
2022-06-07, 2
2022-06-08, 3
2022-06-14, 1
2022-06-17, 2
2022-06-20, 5
2022-06-21, 3
2022-06-22, 1
2022-06-28, 1
2022-06-29, 1
2022-07-08, 1
2022-07-12, 1
2022-07-14, 1
2022-07-15, 2
2022-07-20, 1
2022-07-24, 1
2022-08-01, 1
2022-08-02, 1
2022-08-04, 1
2022-08-09, 1
2022-08-12, 2
2022-08-21, 1
2022-08-25, 1
2022-08-26, 1
2022-08-29, 1
2022-09-03, 1
2022-09-07, 1
2022-09-09, 2
2022-09-10, 1
2022-09-11, 1
2022-09-12, 1
2022-09-13, 2
2022-09-14, 2
2022-09-18, 1
2022-09-19, 2
2022-09-20, 2
2022-09-25, 1
2022-09-28, 1
2022-09-29, 1
2022-10-01, 1
2022-10-04, 1
2022-10-05, 1
2022-10-06, 2
2022-10-07, 1
2022-10-09, 1
2022-10-10, 1
2022-10-11, 1
2022-10-12, 1
2022-10-13, 1
2022-10-14, 1
2022-10-15, 1
2022-10-17, 1
2022-10-18, 1
2022-10-19, 1
2022-10-21, 1
2022-10-23, 1
2022-10-24, 1
2022-10-25, 1
2022-10-26, 1
2022-10-28, 1
2022-10-30, 1
2022-11-01, 1
2022-11-02, 1
2022-11-03, 1
2022-11-07, 1
2022-11-09, 1
2022-11-10, 3
2022-11-11, 2
2022-11-13, 1
2022-11-14, 2
2022-11-16, 1
2022-11-17, 1
2022-11-21, 2
2022-11-22, 5
2022-11-23, 2
2022-11-24, 1
2022-11-25, 2
2022-11-27, 1
2022-12-01, 1
2022-12-06, 1
2022-12-15, 1
2022-12-17, 1
2022-12-18, 1
2023-01-03, 1
2023-01-17, 1
2023-01-28, 1
2023-01-30, 1
2023-02-11, 2
2023-02-15, 1
2023-02-16, 2
2023-02-17, 1
2023-02-19, 1
2023-02-20, 1
2023-02-21, 1
2023-02-22, 1
2023-02-28, 1
2023-03-02, 1
2023-03-12, 1
2023-03-14, 2
2023-03-29, 1
2023-04-04, 2
2023-04-06, 1
2023-04-08, 1
2023-04-11, 1
2023-04-14, 1
2023-04-18, 1
2023-04-20, 1
2023-04-21, 1
2023-04-22, 2
2023-04-25, 1
2023-04-30, 1
2023-05-30, 1
